question,subjects
너무 오래되서 기억이 안남 다만 근무지에 대한 질문은 항상 나옴,{}
이력서의 경력 위주의 질문을 위주로 하엿다 어떤업무를 경험햇는지에 대한 질문,{}
받고 싶은 질문이 있다면 먼저 말해라. 그걸로 질문 해주겠다.,{}
과거 이력서상 ~~프로젝트가 있었는데 그거에 관한질문.. 꼬리무는 질문들 입사후 구체적 계획 커리어 계획,{}
"지원동기, 회사에서 사용하는 툴경험 여부, 프로젝트에 어떤 부분을 담당하였는지 등",{}
신입지원하면서 왜 경력을 어필하냐(제일 노답 질문) 왜 이직하냐 이직 사유에대한 꼬리 질문(어느정도 예상은 함),{}
경력 공고를 많이 냈었는데 왜 지금 지원을 했는지 문의 했습니다.,{}
"프로젝트에 대한 설명, 본인이 가진 기술에 대한 설명, 이직 사유",{}
다니던 회사에서 왜 그만두었는지 여기에서도 다니다가 그만둘 수 있지 않나요?,{}
일하다 문제가 생기면 어떻게 대처하는지 지금 공부중인 것 지원업무와 다른 업무를 맡게되면 어떨지,{}
인턴 경험에 대한 꼬리질문 다뤄본 툴/언어 원하는 직무가 아닌 경우 어떻게 하겠는가,{}
현재하고 있는 업무와 입사 후 그 업무 경험을 이용해 어떠한 일을 할 것인지,{}
이력서 위주의 질문이었으며 자신맘의 강점을 적은 잉ㅍ를 상세히 설명해달라고 했습니더,{}
인프라가무엇인가 어려웠던적이 무엇인가 프로젝트를 하면서 하고싶은 일이 있나,{}
면접대부분은 편안한 분위기에서 진행되나 임원면접에서 홀로 압박면접을 하는사람이 있었음 그 사람 만 최대한 친절하게 잘넘기면 됐음,{}
직무 지원 동기 신한DS에서 하고 싶은 일,{}
기술면접은 무난하게 넘어갔으나 2차 임원면접때는 좀 무서웠음.. 프리랜서 경력을 가지고 회사생활에 적응을 하녜마녜 소리를해서 당황함..(프리랜서했으면 회사생활 적응 못할텐데 버틸수있겠나?),{}
1. 인프라에 지원하셨는데 인프라가 뭐하는 건지 아냐? 2. 프로젝트에 대해서 설명해 보시오. 3. 왜 개발이 아닌 인프라를 하고싶은지?,{}
가장 큰 프로젝트 중심으로 해당프로젝트에서 어떠한 역할을 했는지 물어봄,{}
지금까지 했던 업무중 제일 힘들었던 업무가 무엇인가? 상세하게 말하시오,{}
1 자기의 장단점을 말해보세요. 2. 왜 우리회사에 지원하게 되었는지? 3. 이전 회사에서 퇴직한 사유가 무엇인지,{}
1차때 pt면접 토론면접 심층면접으로 꽤 오랜시간 진행했고 2차 임원면접은 30분정도 걸렸던것 같습니다. 1차때 금융 신기술 동향과 관련한 주제로 pt 진행했습니다.,{}
"스트레스를 어떻게 해소하는지? 프로젝트에 대한 질문, 부당한 지시를 한다면 어떻게 할지?",{}
스프링 써봤냐. 장점은 머냐 등등. 기존 회사 업무에 관한거와 커뮤케이션에 관한 질문등등 어려운건 없어요.,{}
업무적인거 몇가지랑 야근을 해야 하는대 괜찮겠냐고 물어봤던거 같습니다,{}
1. 이전회사 경력 2. 이직사유 3. 비전,{}
경력관련 직무관련 회사에 업무에 대해 얼만큼 관심있는지 알아보는 듯 했음,{}
"지원동기, 프로젝트 상세 설명, 자기소개",{}
"경력에 대한 질문, 기본적인 기술력 질문, 평소 생활을 물어봄",{}
회사와 가까운 곳에 사는지 회사와 얼마나 걸리는지 경력중 경험사항에 대해 물어봤습니다.,{}
1.수직적문화에대해 어떻게 생각하는지에 대해서 2.을에 입장에서 일하는것을 어떻게 생각하는지,{}
스트레스 해소법 입사 후 해보고 싶은 일 워라벨에 대한 의견,{}
1. 회사 지원한 이유는? 2. 어느 분야에서 일하고 싶은가,{}
1. 어떤 직무 관련 경험이 있는지 2. 죽전에 와본적 있는지 3. 면접본 업무말고 다른 업무도 할 수 있는지,{}
"이직사유, 신한 DS 지원 사유, 코테 점수가 낮은 이유, SI에 관심있어 보이는 데 SM 업무를 지원한 이유 는?",{}
과거경력중 어필할수있는 경험이 뭐였는지 물어보며 문제해결능력 및 적극성등을 보는듯했음,{}
"현재의 기술스텍과 현재 가장 떠오르는 기술이슈 질문, 그 이슈에 대한 자신의 생각 채용방식 필기시험, 케이스 면접 발표시기 3일 후 ""적당히 수준있는 질문으로 괜찮았습니다."" 합격 보통 도움이 돼요 1",{}
"간단한 자기소개와 그동안 수행했던 프로젝트 설명 지원동기와 입사후 포부등 채용방식 개인면접 발표시기 16일 후 ""편안한 분위기에서 진행 1차 실무면접 2차 임원면접으로 진행"" 합격 보통 도움이 돼요 0",{}
한 기술을 설명하고 먼저 하고싶은 사람 먼저 설명하라고 하심,{}
지원동기는? 누가뽑힐것 같은지? 잘할수있는 이유는?,{}
퇴사사유 지원한 이유는 무엇인가요 당신의 강점은 무엇인가요,{}
1. 야근을 할 수 있나 2. 원하지 않는 업무라도 할 수 있나 3. 이직 사유는,{}
"이직 사유, 자기소개, 향후 포부, 난감한 상황에서의 문제해결 능력",{}
이직사유 와 금융권프로젝트 경험이 있어 관련된 질문을 주로하였음,{}
만약 시간이 오래걸리고 야근을 오래 해야하는 상황이 생긴다면,{}
자격증이 하나도 없는데 학교때 무엇을 하고 준비했는지,{}
"지원한 분야에 대한 질문 (어떤 직종인지) 출퇴근 거리 향후 회사에서 이루고 싶은것들 채용방식 그룹면접 발표시기 14일 후 ""1차 실무자 면접 업무와 기술위주의 면접이었음 업무에 대한 이해도와 회사에 대한 질문"" 합격 보통 도움이 돼요 0",{}
전반적으로 무난한 질문이며 가장 힘들었던 업무와 어떻게 극복했는지 질문 함,{}
경력직이라 그런지 과제는 없었고 했었던 업무 위주로 물어보심. 입사시 직무가 변경되어도 수용가능 한지 물어보심,{}
"왜 이직하려고 하는지, 금융권으로 오려고 하는 이유는?",{}
"술은 잘마시는가 좋아하는 영화는 뭔가 가장 고생한거 얘기해봐라 채용방식 인/적성검사, 그룹면접, 개인면접, 워크숍, 산행, 체육대회 발표시기 30일 후 ""통상적인 면접 여기까진 뭐 소소함 푸근한 아저씨같았음 그후가 문제"" 합격 보통 도움이 돼요 0",{}
1. 1분 자기소개 2. 10년 후 해당분야에서 자신의 모습 3. 마지막으로 궁금한 점,{}
1. 관련 직무를 아는지? 2. 해당 직무에서 사용하는 기술 사용여부 3. 2차면접은 이력서 보고 까기 시작함,{}
니가 자신있는게 뭐냐? 왜 지원했냐? 퇴사 이유가 뭐냐?,{}
지원동기와 본인의 역량을 어떻게 활용할 수 있는지 자기소개 간단히 해보세요,{}
이 회사가 뭐 하는 회사인지 아는가? 지금까지 어떤 일을 해왔는가? 금융 지식에 대한 질문,{}
1. 이직 사유 2. 경력 관련 질문 3. 우리 회사에 대해 아는 것 4. 입사 후 하고 싶은 일,{}
경력이면 했던 업무로 질문이라 어렵지 않았고 압박 없었음,{}
지원동기는 무엇인가 무엇을 하고싶은가 미래에는 어떤모습이 되어있을거같나,{}
이 파트를 지원하게 된 계기. 최근 관심분야 입사 후 5년뒤 본인의 모습,{}
"가장 기억에 남는 프로젝트는? 동료들과 문제가 생겼을때 해결방안은? 다른 파트의 일을 할수 있는지? 발표시기 16일 후 ""1차는 실무진 면접으로 편안한 분위기에 자기소개와 경력사항 위주의 질문들"" 불합격 보통 도움이 돼요 0",{}
1차 왜 이직을 결심했는지? 성격은 어떠한지? 전반적으로 기술질문 보다 인성질문이 많았음. 2차 왜 이직을 결심했는지?,{}
특별하게 어려웠던 질문은 없었어요 그냥 자소서를 바탕으로 질문합니다,{}
"1차면접은 이력서 위주로 경력 질문이었고 2차면접은 압박면접으로 얼마나 열심히 회사에서 일할 수 있는지 질문입니다. 발표시기 30일 후 ""1차면접은 실무위주의 질문이었고. 2차면접은 임원면접으로 인성질문입니다"" 합격 보통 도움이 돼요 0",{}
질문은 1가지만 받았음. 내가 이제까지 한일이 무엇이고 내가 하고 있는일인 무엇인지,{}
임원면접 자기자랑해봐라. 근속이 왜짧냐. 다른업무줘도 할수있나 등을 물어봄 면접내내 기분나쁨,{}
"어떤걸 잘하는지? 상급자와 갈등이 있을때 어떻게 대처할지? 채용방식 개인면접 발표시기 15일 후 ""1차 실무자 2차 임원면접인데 난이도는 어렵지 않았습니다."" 합격 보통 도움이 돼요 0",{}
"죽전 출근 가능한가 야간 주말 잔업 가능한가 장애시 바로 출근 채용방식 개인면접 발표시기 30일 후 ""군대 분위기 딱딱함 신한그룹 it회사 그이상 이하도 아닌 느낌"" 합격 보통 도움이 돼요 0",{}
"실무 : 해온 일들, 어떤 기술을 할줄 아는지 어디에 관심있는지 편안하게 물어봄 임원 : 말을 자르고 압박을 준다. 이유를 모르겠음",{}
1차 면접 시 기술 면접을 보았으나 딱히 질문은 없었습니다. 2차면접에서도 별로 질문이 없었습니다. 기본적인 자기소개 + 마지막 할말 정도.,{}
"자기소개 스프링의 장점은 뭐가있을까요? 사용경험을 토대로 말해주세요 프로젝트 사용기술, 고객응대 경험 등에 대한 질문 채용방식 인/적성검사, 개인면접 발표시기 7일 후 ""어려웠던 질문은 없었음 프로젝트 경험 위주의 무난한 면접"" 불합격 보통 도움이 돼요 0",{}
"대면 면접 좀 까는 분위기 잘하면 안까기도 합니다. ""딱하 기술적인 질문은 없습니다. 기술면접 경영진 면접 있는데 기술은 기본만 경영 진면접은 좀 까는 분위기 일수있는데 거기서 기죽지말고 대꾸하시면 됩니다."" 합격 보통 도움이 돼요 1",{}
이회사에 지원한이유 이직사유 입사후 회사를 위해 무엇을 할건지,{}
"자기소개와 이직 동기를 기본적으로 질문했고, 자기개발이 미흡한 부분에 대해서 물어봤습니다. 그리고 어떤 업무를 하는지 알고있냐는 질문과 목표를 묻는 질문이 있었습니다.",{}
지원한 이유는? 지원한 분야 잘 할 수 있냐? 혼자 일 다 할 수 있겠냐?,{}
왜 이직 하려고 하냐 왜 이직 하려고 하냐 왜 이직 하려고 하냐,{}
부서는 지금까지 한 일 할수있는거 등 물어봤고 임원면접은 왜 지원했는지 물어보네요. 상당히 직설적 으로 물어보는데 임원들의 심기를 크게 건드리지 않는다면 통과입니다,{}
1. 지금까지 해왔던 기술에 대한 질문 2. 1번 사항에 대해서 상세 기술 질문,{}
타 포지션의 경험이 있는지 묻는다. 타 포지션으로도 투입이 가능한지 묻는다. 본인이 프론트인지 백인 지를 줄서달라고 묻는다.,{}
1차의 경우 업무에 대해 아는지 체크하는 것이 대부분이고 2차의 경우 이런 상황에는 어떻게 하겠느냐 같은 질문이 많음,{}
평이한 질문들입니다. 앞으로 무얼 하고 싶은지 운영업무의 어떤 점을 보고 입사를 원하는지 등등,{}
"사람들 5명이 앉아있고, 비슷한 질문을 서로 경쟁하듯 대답하는 분위기 질문내용의 난이도는 그다지 있 지않았습니다",{}
"가장 잘하는 언어, 그동안 했던 프로젝트 위주로 물어봅니다.",{}
이전 직장에서 무슨일을 하였는지? 어떤 부분에 강점이 있는지,{}
"대학생활, 프로젝트 경험에 대해서 구체적으로, 현재 업무를 맡게되면 어느 업무를 하고싶은지",{}
자기소개서 위주의 질문으로 시작해서 답변의 내용을 토대로 꼬리물기식 질문이 이어진다.,{}
경력직 면접으로 자신이 했던 이력서에 기술된 프로젝트에 대해서 주로 질문함.,{}
다대다 면접이며 실무와 자기소개서 위주로 많이 물어보며 현재 어떤파트에서 어떤부분을 해왔는지 물 어봄,{}
입사후포부에 대해서 말해보세요. 자신의 강점을 말해보세요,{}
"자기소개 장단점 이전 회사 퇴사이유 기본적인걸 물어본다 it개발직군인데 전문성 관련해서 질문을 안 함 채용방식 개인면접 발표시기 30일 후 ""기본적인 면접 (질문 이직 사유 자기 소개 등등)과 이전 경력중에 금융 관련 개발이 없냐고 질문 대부분 평이하고 어려운 질문은 없었음"" 합격 보통 도움이 돼요 0",{}
지금 지원하신 부서에 입사 시 부서원들과 어떤 시너지를 낼 수 있는가 ?,{}
본인이 생각하는 금융it란 무엇인지 본인의 장단점은 무엇인가 지원동기,{}
토론을 하고 각각 개인마다 질문받음. 했던 프로젝트에 대해서 집중적으로 질문함,{}
해커가 되고싶었던 사람있었냐 가장좋았던경험,{}
"이 회사에 지원한 이유 전 회사에서 이직을 하려는 이유 발표시기 16일 후 ""그리 딱딱하지 않은 분위기에서 참여했던 프로젝트 기준으로 질문"" 합격 보통 도움이 돼요 0",{}
"자기 소개, 지원 동기, 입사 후 하고 싶은 일, 지금까지 해본 프로젝트, 자신의 장단점 등..",{}
"신한그룹사를 담당, 은행의 경우 글로벌 사업 투자 지원하며, 은행을 지원하게 된다면 글로벌 사업에 참 여할 수 있는 기회를 얻을수있고 금융권의 경우 최신기술이 적용된 만큼 많은 것을 보고 경험하며, 기술 역량 키우는 부분을 이야기했고, 많은 것을 해볼수 있다는 부분에 대해서 이야기했었습니다 채용방식 필기시험, 개인면접 발표시기 30일 후 ""무슨일을 하는 회사로 알고 왔는지, 회사가 나아가야 할 방향에 대해서 알고 있는 지, 어떻게 기여해갈것인지에 대한 질문입니다"" 합격 보통 도움이 돼요 2",{}
야근이 많은데 괜찮나? 스트레스에 대해 어떻게 해소하나??,{}
1차면접은 면접자간 토론과 개인질문으로 나뉘어지는데 최근 IT 이슈에 대해 토론하게 하며 토론에 임 하는 태도를 주로 평가하는 듯함. 개인질문은 개발 경험과 지식 위주이며 인턴 경험 등이 있다면 집중적 으로 물어봄. 2차면접에서는 지원 동기 등 인성 관련임.,{}
"자기가 평소에 관심있는 신기술 및 프로젝트 경험 어필, 왜 지원했는지 등 등",{}
질문이 어려운건없었고 경험에 대하여 많이 물어봤었습니다,{}
경력기술서 내용에 대한 질문이 대부분임,{}
1. 자신 있는 개발 언어 2. 커리어가 금융과 맞지 않은데?,{}
"1차 토론 면접은 안아키 주제였고 2차 임원 면접은 1분 자기소개하고 돌아가면서 술은 잘먹냐, 야근할 수 있냐, 한달째 집 못들어갈때도 있는데 할 수 있냐.. 뭐 이런식",{}
주로 입사 후 포부에 대해 질문을 함. 자소서에 적은 특이사항중 하나를 중점적으로 질문함,{}
면접관들도 이런 면접이 처음이라 뭘 질문해야될지 모른다고 했음 기술면접보다는 인성면접 비슷했던거 같음. 기술 질문은 없었음 꿈이 뭐냐 상사와 트러블을 어떻게 해결할거냐 등등 옆팀은 기술에 관해서 물어보는듯 했음.,{}
자기소개 기억에 남는 프로잭트 가고 샆은 부서 그냥 엄청 질문 많았음 거의 두시간반 동안 하기땜에 이것저것 많이 물어봄,{}
전직장에서 하던 업무 및 포지션 질문 이직이유 어떤 업무를 가장 잘 수행할 수 있는지 질문,{}
ㅇㅇ지역에서 일하면 어떨꺼 같냐?(내가 사는지역이 다른직무 근무지여서 물어본 거 같음),{}
1차 면접의 토론 면접은 당시에 무난한 주제로 진행한듯함 직무 면접은 주로 학교에서 배운 내용과 관심 분야에 대한 질문 2차 면접은 이력서 내용으로 질문 주로 영어점수 이력서 내용을 보고 질뮨 함,{}
지원동기와 그동안의 경력에 대한 질문 압박면접은 아니지만 답변에 의문이 있을 경우 집요할 정도로 파고들며 질문,{}
"사는곳? 죽전 출퇴근이 가능한가? 야근이 많은데 괜찮은가 채용방식 인/적성검사, 그룹면접 발표시기 30일 후 합격 보통 도움이 돼요 1",{}
"자기소개, 이직사유, 이직하기 위해 무엇을 준비했는지?, 기술적인 내용 물어보심 임원면접은 대기중",{}
"이직사유, 지원동기, 자신이 가장 자신있는 부분(일관련), 회사에 대해 알고 있는지",{}
간단한 직무질문 이직 사유에 대해 물어봄 다대다 진행으로,{}
"자기소개, 지원동기, 어떤 준비를 하였는지?, 하고싶은일",{}
자기소개 해보세요 이직은 왜 하려고 하는지 취미나 특기가 무엇인지,{}
자기소개 및 업무 관련 질문을 받았고 현재 자소서 위주로 질문을 받았습니다.,{}
"자기소개, 어떤일을했는지 , 무슨 계기로 지원했는지, 하고싶은 얘기가있는지? 채용방식 그룹면접 발표시기 30일 후 ""면접관 3명과 지원자 3명이 함께 면접을 봄 자기소개부터 시작해서 어떤일을했는 지 등등 어딜가나 물어보는 질문들"" 대기중 보통 도움이 돼요 0",{}
주로 업무에 관한사항을 물어 봅니다.,{}
"블라인드 면접 방식으로 이력서와 자기소개서는 면접관에게 제공되지 않음. 1. 인성면접(3분자기소개, 관심분야, 그 외 개인별 질문) 2. 토론면접(찬반토론, 토의) 3. 실무면접(프로젝트 관련 경험)",{}
"가장 나를 힘들게 했던 사람은? , 1분 자기소개",{}
1. 자기소개 2. 이직 하려는 이유 3. 입사하면 무슨일을 하고 싶은지 4. 출퇴근이 힘들꺼 같은데 가능한지?,{}
금융it의 목표는?뭐라고 생각하시나요 그러면 신한의 목표는 뭐라고 생각하시나요,{}
"오전에는 인적성 검사를 보고 점심부터 면접관 2에 면접자 8명씩 팀을 이루어 같이 식사를 하고, 면접 자들끼리 토론을 하면 면접관들은 지켜보는 방식의 방식입니다. 토론 주제는 코딩 조기교육 이었습니 다..",{}
"최근IT 기술, 인생의 목표, 프로젝트경험",{}
꼬리의 꼬리물기식의 질문이 많았습니다. 자소서는 안봤어요,{}
합격 한다면 어떤 마음가짐으로 임할꺼냐 라고 물으셨음.,{}
지금 무슨일하는지 이직사유 일이 많이 힘든데 괜찮은지,{}
"자기소개, 이직사유 및 수행업무에 대한 내용",{}
"지원동기가 뭔지 이직사유가 뭔지 어떤 일을 하고 싶은지 왜 금융 IT인지 ""대기실에서 기다리다가 3~4명씩 면접실에 들어갔어요 1차는 실무면접인데 3분정도 계셨고 2차는 임원면접 4분정도 계셨어요"" 대기중 보통 도움이 돼요 1",{}
전공이 직무와 다른데 할 수 있는가? 다른 사람들보다 공부량이 적을텐데 할 수 있는가?,{}
진행했던 프로젝트는 무엇인가? 스트레스 대처법은 무엇인가?,{}
"자기소개,입사이유,입사후포부,결혼여부,통근거리,기본업무외다른일가능한지",{}
노키즈존 확산에 대해 찬반 등 다양한 토론주제로 토른을 함,{}
"1차 : 사이가 안좋은 사람과 그 이유, 제일 자신이 없는 과목 등 2차 : 남들은 취업하려고 많은걸 해 왔는데 왜 본인은 아무것도 안했는지, 연구실에서 뭘했는지",{}
"당 사에 입사하려는 이유, 일산으로 출근 가능 여부, 입사시기",{}
"임원면접시 자기소개를 비롯하여 입사동기나 입사후 포부에대한 질문 채용방식 개인면접 발표시기 15일 후 ""1차 면접 현업 면접 자기소개서를 바탕으로 야근이 많은데 버틸수 있겠냐는 등의 질문 받음"" 합격 보통 도움이 돼요 0",{}
"이전에 진행한 프로젝트가 무엇인지 해당 업무는 무엇이었는지네 대한 질문 발표시기 13일 후 ""경력면접이라 이전에 진행한 프로젝트 위주로 면접을 진행하였고 무난한 면접이라 생각됨"" 합격 보통 도움이 돼요 0",{}
프로젝트 위주의 질문. 기술적으로나 특별히 어려운 질문이 없었음,{}
프로젝트에 대해 설명해보시오 예기치 못한 위기상황을 극복한 경험에 대해 말해보시오,{}
"자격증은 왜 없는지, 학점, 전공 이야기, 자신을 어필해봐라, 인적성 점수얘기",{}
"전회사에서 인턴 경험을 했는데, 왜 입사를 포기하였는지",{}
최근 금융권에서 가장 큰 관심이 되는 IT관련 사업은?,{}
잦은 야근으로 인해 이성친구와의 문제가 생길경우 어떻게 하시겠습니까?,{}
토론 주제는 매년 바뀔 것이라 생각됩니다. 자신의 생각을 편안하게 말하시면 됩니다. 찬반 토론과 주 제 토론을 합니다. 면접 질문 중 기억나는 것은 자기소개 내가 당신을 채용해야 하는 이유는? 프로젝트 경험? 현재의 IT 트렌드 대해서? 마지막으로 하고 싶은 말씀 하십시오.,{}
1. 학부시절 수행했던 프로젝트 경험 2. 자기소개 3. 지원동기,{}
어떤직무를 해보있는지 에대하여 경력에맞게 ㄱ술적질문,{}
"특정 자격증 유무, 특정 근무지 근무 가능 여부, 프로젝트 경험 발표시기 7일 후 ""다대다 면접 진행방식입니다 자소서 내용을 위주로 질문합니다"" 합격 보통 도움이 돼요 0",{}
"다른파트 지원자와 함께 참여해 질문 내용이 다 다릅니다. 1차 : 전직장 출근시간, 야근 가능여부, 프로젝트 관련 질문 2차 : 프로젝트 관련 질문, 본인이 가장 잘 할수 있는것이 무엇인가?",{}
죽전인데 출퇴근은 어떻게할거게요.. 전직장에서 했던업무가 뭐에요,{}
"대체적으로 무난함. 이전회사에서 한 업무 및 프로젝트, 기술적인 질문 이직하는 이유 등",{}
무슨 프로젝트를 했는가 ? 프로젝트에서의 역할은? 가장 어렵게 해결했던 과제는 무엇인가?,{}
- 우리 회사에 대해서 알고 있는가? - 능력 향상을 위해 준비하고 있는것이 무엇인가? - 이직을 결심한 이유는 무엇인가?,{}
간략하게 자기 소개와 자신있는 프로젝트에 대해 말하시오,{}
경력으로 지원했고 실무면접 - 자신이 해온 일에 대한 질문 임원면접 - 자신이 해오면서 놓쳤던 부분에 대한 질문,{}
실무면접이지만 기술적 질문은 없었고 각자 자기소개 후 프로젝트 경험위주로 질문했으며 지방 발령을 받을경우 가능여부 물어봤음 편안하게 면접볼수 있게 해 주셨음,{}
지금까지 살면서 가장 힘들었던 순간 가장 집중햇던 순간,{}
"왜 이직하려고 하는지.. 담당했던 업무의 세부적인 내용까지 물어보았음 채용방식 인/적성검사, 그룹면접 발표시기 14일 후 ""서류통과되고 다대다 면접. 1차 실무진면접은 프로젝트 경험을 주로 얘기했음. 옆 에 분이 말을 잘하셨고 전 몇마디 못하고 물어본 질문에 잘못된 대답을 했으나 내가 붙었음.. 주로 인성을 보신듯.. 1차붙었으면.. 성격이 모나지 않았으면 90%합격임"" 합격 보통 도움이 돼요 2",{}
"회사지원동기, 해당 프로젝트 경험에 대해 설명하세요. 마지막 질문. 마지막 할말 발표시기 30일 후 ""평이한 질문 대체적으로 만족함 지원동기와 해당 프로젝트 내용 준비 필요"" 대기중 보통 도움이 돼요 0",{}
"이직사유, 회사에 입사지원하는 이유, 입사시 무엇을 이루고 싶나",{}
"실무상 큰여러움있는 질문은 없었고, 프로필에 기재되어있는 프로젝트 수행이력과 관련한 질문이 대부 분이였음. 프로젝트 수행 성격, 수행했던 직무, 어려웠던점/ 해결하기위해서 노력한것이 무었이었나 등 기술적인 내용보다는 마음가짐등에 치중한 느낌",{}
왜 지원했는지? 최종적으로 무슨일을 하고싶은지?,{}
"토론면접에서는 청년실업수당, 노키즈존 확산에 대해서 물어보고, 실무면접은 개별 프로젝트에 대해서 물어보셨습니다.",{}
다양한질문. 당신의 전직장 업무는? 같은 전에 일에대해질문을 합니다.또는 학점질문도 합니다,{}
"1차는 토론면접이 메인인것 같음. 남,녀 나눠서 진행함. 본인의 의견과 상관없이 찬/반으로 나뉘어 토론 주제를 주고 3분정도 생각할 시간 주고 토론시작.",{}
실무진- 자기가 가장 열심히 임했던 일(프로젝트 등등등),{}
"자기소개서에 프로젝트 경험을 적었는데, 기술적인 내용 포함해서 프로젝트 과정을 설명해주세요.",{}
어려웠던 질문은 없었습니다 질문에 대해 대답할수 있었습니다,{}
베리타스 볼륨 메니저를 써본적이 있냐 갑이 아닌 을의 입장에서 업무 가능하냐,{}
이력서 내용이 부실한데 우리회사에 오고싶지 않은 느낌이다.,{}
자기소개 및 기술요약설명/ 프로젝트 경험위주의 질문을 함,{}
"수행했던 프로젝트들에 대해 물어보고, 특정 프로젝트에서 수행했던 업무에 대하여 꼬리를 무는 질문 을 함. 2차 면접때도 주로 업무 수행이력에 대해 물어보며, 잦은 이직 사유에 대하여 물어봄",{}
제출한 이력서를 보고 많이 물어보며 진행했던 프로젝트에 대해서 질문하며 이직이 많을경우 왜 이직 했는지에 대해서도 물어봄,{}
"그만둔 이유 및 이곳으러 오려고 하는 이유 채용방식 인/적성검사, 케이스 면접, 기타 발표시기 30일 후 ""평범한 면접이였다 질문이 너무길고 한명만 질문 하였다"" 합격 보통 도움이 돼요 0",{}
왜 이 회사를 지원했는지? 모르는 분야에 대해서 일을 할 때 자신이 있는지?,{}
"그 동안 수행해왔던 프로젝트 중 본인이 가장 중추적인 역할을 했던 프로젝트는 무엇이며, 어떠한 역할 과 업무를 수행하였는가?",{}
"1. 1분가량 줄테니 자리소개를 해라. 2. 이전에 무슨일을 했으며, 어떤 개발을 했는가? 3. 가장 기억에 남는 일이나 힘든일은 무엇이었는가? 4. 마지막으로 회사에 궁금한점 있는가?",{}
"자기소개, 수행 프로젝트 설명, 하고 싶은 업무",{}
해당직군에서 본인의 강점은 무었인가요? 이런일도 하셨네요 등등,{}
전공관련 질문과 인사관련 질문들 그리고 개인적인 질문들과 간단한 자기소개로 진행되엇으며 30분 이내였음,{}
"1. 회사지원 동기 2. 야근가능여부 3. 본인의 강점 4. 입사 후 포부 ""직무 면전 난이도는 중하 수준이며, 임원 면접시 철저히 복장을 갖춰야함"" 합격 보통 도움이 돼요 0",{}
담당 업무가 뭔지 그리고 왜 이직하려고 하는건지에 대해서 여쭤봤습다,{}
본인 PR이 어려웠음 경력직 지원으로 이직하는 이유에 대해 물어봄 면접 질문들은 대체로 평이한 수준이라 생각됨,{}
자기소개서에 기술된 내용을 바탕으로 기술적인 질문들,{}
프로젝트수행경험이 있는지 자기소개 등 질문 신기술 동향 등,{}
"실무자 면접 시 전직장에서 했던 업무를 물어봤던걸로 기억함 채용방식 그룹면접 발표시기 45일 후 ""경력으로 지원하여 실무자 면접, 임원 면접 두번을 진행"" 합격 보통 도움이 돼요 0",{}
전. 직장. 그만둔 이유와 전 직장. 직무수행경험. 결혼. 언제할건지 지원동기,{}
학점이 왜 이렇게 좋지 않은가? 그리고 양말을 봄,{}
토론면접-동성혼인에관해 인성면접-같은직종에 있는 지인이있나?,{}
면접은 질문이 평이하고 스페셜한 인재보다 이것저것 다 할줄아는 사람을 좋아하고 너무 한 분야에 잘 한다고 하지마세요. 니가 경력이 얼만데 알아봐야 얼마냐 알고있냐 이런 마인드를 가지고 있어서 진짜 잘난척하면 임원면접에서 떨어져요,{}
"실무위주의 프로젝트 설명, 프로젝트에서 맡았던 부분 + 배웠던 부분, 단독으로 프로젝트를 진행한 경 험 유무, 가장 힘들었던 프로젝트, 신기술 습득 유무, 퇴사한 이유",{}
수행 프로젝트가 어떤 내용과 기술을 사용했는지,{}
임원면접 나이지긋하신 면접관 질문이 예리함 금융권업무 배우고 이제 적응되면 나갈것 아닌가?,{}
프로젝트 진행시 자기 맡은 업무 꼭 물어봄,{}
"실무 면접은 크게 어려운건 없었습니다. 트렌드와 업무하면서 힘둘었던점에 대해 물어봄 채용방식 인/적성검사, 그룹면접 발표시기 7일 후 ""경력직 실무 면접인데 집단 면접으로 진행합니다"" 대기중 보통 도움이 돼요 0",{}
타 사와 우리와의 차이가 무엇인가?,{}
형식적인 질문이 많았습니다. 1차 실무진은 어려운 내용은 없었고 2차에선 관련 업무 질문이 있었으나 어렵지 않았습니다.,{}
"그동안 쌓은 경력 기술 역량, 모집 부문 필요한 기술 역량, 제출한 이력서에 대한 내용들이 대부분의 질 문 사항입니다.",{}
입사하면 이론저런 업뮤를 하게 되는데 할수 있느냐 사내에 이런저런 담당자들이 있는데 협력하는데 문제 없느냐,{}
"이 직무에 지원한이유, 자신있는 스킬, 함께 일하기 어려운동료와 어떻게 할건지",{}
경험한 업무 중 제일 어려웠던 업무가 어떤 업무였나요?,{}
지원자가 면접관이라면 어떤 질문을 할 것인지 물어보셨습니다.,{}
취미를 묻더니 결혼 했는지 물어봄 선질문과 상관도 없고 업무와 상관없는데 왜 묻는지 모르겠음. 굉장히 불쾌함 요즘 이런거 질문하는 기업 없음,{}
전공관련 수업에 대해서 구체적인 설명을 원했음. 지원동기도 당연히 물음,{}
"이직 횟수 다수에 따른 이유, 보유 스킬, 향후 각오",{}
경력 위주로 해왔던 프로젝트 이직사유 해당 업무에 대한 이해도,{}
딱히 기억에 남는 질문은 없습니다. 그 동안 경험했고 할 수 있는일에 대해 말씀드렸습니다,{}
"보유하고 있는 IT기술에 대한 질문,야근 및 워라밸 질문 등",{}
각 회사를 옮기게된계기 이유를 자세하게 말하시오 딱히 그외에는 별질문이없었음,{}
